term,old_file,new_file,old_url,new_url,status
RG-59 Cable,RG-59.PNG,rg-59-cable.webp,glossary-images/RG-59.PNG,glossary-images/rg-59-cable.webp,ok
RG-6 Cable,RG-6cable.PNG,rg-6-cable.webp,glossary-images/RG-6cable.PNG,glossary-images/rg-6-cable.webp,ok
Right-Angle Adapter,right_angle_adapter.PNG,right-angle-adapter.webp,glossary-images/right_angle_adapter.PNG,glossary-images/right-angle-adapter.webp,ok
S/PDIF (Sony/Philips Digital Interface),spdifCOnnector.PNG,s-pdif.webp,glossary-images/spdifCOnnector.PNG,glossary-images/s-pdif.webp,ok
Safety Glasses,SafetyGlasses.PNG,safety-glasses.webp,glossary-images/SafetyGlasses.PNG,glossary-images/safety-glasses.webp,ok
Scissor Lift,SicsorLift.PNG,scissor-lift.webp,glossary-images/SicsorLift.PNG,glossary-images/scissor-lift.webp,ok
Server Rack,ServerRack.PNG,server-rack.webp,glossary-images/ServerRack.PNG,glossary-images/server-rack.webp,ok
Shock mount,SHockMount.PNG,shock-mount.webp,glossary-images/SHockMount.PNG,glossary-images/shock-mount.webp,ok
Shotgun microphone,ShotgunMic.PNG,shotgun-microphone.webp,glossary-images/ShotgunMic.PNG,glossary-images/shotgun-microphone.webp,ok
Side Fill,SIdeFillSpkr.PNG,side-fill.webp,glossary-images/SIdeFillSpkr.PNG,glossary-images/side-fill.webp,ok
Slip Hazard,slipHazzardSign.PNG,slip-hazard.webp,glossary-images/slipHazzardSign.PNG,glossary-images/slip-hazard.webp,ok
Solder Wick,SolderWick.PNG,solder-wick.webp,glossary-images/SolderWick.PNG,glossary-images/solder-wick.webp,ok
Soldering Iron,ColderingIronandSolder.PNG,soldering-iron.webp,glossary-images/ColderingIronandSolder.PNG,glossary-images/soldering-iron.webp,ok
Soldering Station,SolderingStation.PNG,soldering-station.webp,glossary-images/SolderingStation.PNG,glossary-images/soldering-station.webp,ok
Speakon,SpeakonConnector.PNG,speakon.webp,glossary-images/SpeakonConnector.PNG,glossary-images/speakon.webp,ok
Speakon Cable,Speakon_cable.PNG,speakon-cable.webp,glossary-images/Speakon_cable.PNG,glossary-images/speakon-cable.webp,ok
SPL Meter (Sound Level Meter),SPLmeter.PNG,spl-meter.webp,glossary-images/SPLmeter.PNG,glossary-images/spl-meter.webp,ok
Spotter,SpotterSign.PNG,spotter.webp,glossary-images/SpotterSign.PNG,glossary-images/spotter.webp,ok
Stage Monitor,StageMonitors.PNG,stage-monitor.webp,glossary-images/StageMonitors.PNG,glossary-images/stage-monitor.webp,ok
Steel-Toe Boots,SteelToesdShoes.PNG,steel-toe-boots.webp,glossary-images/SteelToesdShoes.PNG,glossary-images/steel-toe-boots.webp,ok
Super Tweeter,SuperTweeterSpkr.PNG,super-tweeter.webp,glossary-images/SuperTweeterSpkr.PNG,glossary-images/super-tweeter.webp,ok
Team Lift,SharedLiftSign.PNG,team-lift.webp,glossary-images/SharedLiftSign.PNG,glossary-images/team-lift.webp,ok
Three Points of Contact,3pointsContactSign.PNG,three-points-of-contact.webp,glossary-images/3pointsContactSign.PNG,glossary-images/three-points-of-contact.webp,ok
Three-Way Speaker,3WayEncolsure.PNG,three-way-speaker.webp,glossary-images/3WayEncolsure.PNG,glossary-images/three-way-speaker.webp,ok
Thunderbolt,ThunderboltCable.PNG,thunderbolt.webp,glossary-images/ThunderboltCable.PNG,glossary-images/thunderbolt.webp,ok
TOSLINK (Optical),OpticalPlug.PNG,toslink.webp,glossary-images/OpticalPlug.PNG,glossary-images/toslink.webp,ok
Transport Controls,Transport.PNG,transport-controls.webp,glossary-images/Transport.PNG,glossary-images/transport-controls.webp,ok
Trip Hazard,TripHazzard.PNG,trip-hazard.webp,glossary-images/TripHazzard.PNG,glossary-images/trip-hazard.webp,ok
TRRS Connector,TRRS_3Mmm.PNG,trrs-connector.webp,glossary-images/TRRS_3Mmm.PNG,glossary-images/trrs-connector.webp,ok
TRS Connector (Tip-Ring-Sleeve),TRSconnector.PNG,trs-connector.webp,glossary-images/TRSconnector.PNG,glossary-images/trs-connector.webp,ok
TS Connector (Tip-Sleeve),TSconnector.PNG,ts-connector.webp,glossary-images/TSconnector.PNG,glossary-images/ts-connector.webp,ok
Turntable,Turntable.PNG,turntable.webp,glossary-images/Turntable.PNG,glossary-images/turntable.webp,ok
tweeter,TweeterSpkr.PNG,tweeter.webp,glossary-images/TweeterSpkr.PNG,glossary-images/tweeter.webp,ok
